numero;equipe;escola;uf;dip;dip_plantas;aerodinamica;desempenho;estabilidade;cargas;estruturas;estruturas_plantas;pel;subtotal_rela;penalidades;total_rela;apresentacao;penalidades;total_apresentacao;total_geral
45;KEEP FLYING;Escola Politécnica da Universidade de São Paulo;SP;17.97;8.56;24.26;22.94;23.45;17.28;18;8.61;18.49;159.55;-0.42;159.13;15;0;15;174.13
43;EESC-USP Alpha;EESC-USP;SP;17.58;8.88;23.07;22.99;19.05;16.81;18.95;8.81;17.35;153.49;0;153.49;15;0;15;168.49
44;UAI. Sô! FLY!!!;Universidade Federal de Minas Gerais;MG;17.9;9.45;22.31;23.62;23.25;18.23;18.83;8.19;17.39;159.17;-8.39;150.78;15;0;15;165.78
49;UIRÁ Aerodesign;Universidade Federal de Itajubá;MG;16.24;7.43;24.07;23.01;24.26;14.97;15.26;8.02;19.5;152.75;-4.73;148.02;15;0;15;163.02
9;TUCANO;Universidade Federal de Uberlândia;MG;16.37;7.6;20.72;21.93;21.66;16.87;17.84;9.06;14.95;147.01;0;147.01;15;0;15;162.01
46;Harpia Aerodesign UFABC;Universidade Federal Do ABC;SP;16.5;7.82;19.79;20.66;21.73;15.37;15.38;8.73;15.1;141.09;0;141.09;15;-2;13;154.09
2;URUBUS AERODESIGN;UNICAMP;SP;15.44;8.39;20.03;18.32;21.48;13.86;17.17;8.16;14.64;137.49;-3.44;134.05;15;0;15;149.05
8;CEFAST AERODESIGN Cent;ro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG);MG;16.65;5.02;20.46;19.13;22.38;21.14;13.86;4.56;10.68;133.89;-0.38;133.51;15;0;15;148.51
47;Axé Fly;Universidade Federal da Bahia;BA;14.23;9.39;20;21.1;18.05;16.17;16.49;7.95;14.9;138.28;0;138.28;10;0;10;148.28
3;AEROFEG;UNESP - Feg;SP;17.05;9.14;18.09;20.09;21.82;13.47;12.18;7.49;13.22;132.56;0;132.56;15;0;15;147.56
51;Draco Volans Aerodesign;Universidade de Brasília;DF;14.03;7.68;22.09;19.3;17.02;16.45;11.47;7.12;13.5;128.66;0;128.66;15;0;15;143.66
11;Falcons Aerodesign;UNIFACENS;SP;15.24;4.79;14.75;21.52;21.17;13.38;16.74;6.32;11.5;125.42;-0.42;125;15;0;15;140
54;AeroDesign UTFPR Curitiba;Universidade Tecnológica Federal do Paraná - Curitiba;PR;13.93;7.64;18.34;18.42;16.28;13.9;16.41;8.33;11.07;124.3;-0.63;123.68;15;0;15;138.68
4;ALBATROZ AERODESIGN;Universidade do Estado de Santa Catarina UDESC;SC;15.23;6.72;19.62;19.42;17.73;14.1;14.54;6.79;11.17;125.32;0;125.32;13;0;13;138.32
48;Trem Ki Voa Aerodesign;Universidade Federal de São João del Rei;MG;14.76;7.51;16.82;20.31;15.56;14.83;12.46;6.48;12.81;121.55;0;121.55;15;0;15;136.55
5;AERO VITÓRIA ESPÍRITO SANTO;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;ES;12.19;6.66;17.31;20.96;16.66;15.79;11.14;6.46;11.03;118.21;0;118.21;15;0;15;133.21
61;Delta do Piaui Aerodesign;Universidade Federal do Piauí;PI;9.52;7.11;16.58;17.95;17.75;15.74;15.81;5.33;11.47;117.26;0;117.26;15;0;15;132.26
56;Burning Goose;UFPR;PR;13.43;7.27;16.6;21.92;19.02;12.87;5.17;5.93;14.1;116.3;-0.21;116.09;15;0;15;131.09
1;F-CARRANCA;Universidade Federal do Vale do São Francisco;BA;18.44;7.86;18.51;21.26;18.49;16.02;15.08;6.9;13.96;136.53;-22.34;114.19;15;0;15;129.19
19;Carancho Aerodesign;Universidade Federal de Santa Maria;RS;13.7;8.36;17.52;15.48;12.9;10.68;13.97;8.19;13.26;114.06;0;114.06;15;0;15;129.06
18;Blackbird Aerodesign;Universidade Federal Fluminense;RJ;10.62;6.44;16.25;19.12;13.37;12.61;10.61;6.69;14.36;110.07;0;110.07;15;0;15;125.07
15;FEI REGULAR;Centro Universitário FEI;SP;10.35;7.32;14.07;13.66;14.74;11.49;14.82;6.45;15.32;108.2;0;108.2;15;-1;14;122.2
17;DRAGÃO BRANCO UFSCar;Universidade Federal de São Carlos;SP;14.19;8.19;12.96;14.87;15.7;11.56;16.62;7.39;5.49;106.98;0;106.98;15;0;15;121.98
26;AERODESIGN SAE USB;Universidad Simón Bolívar;-;12.98;7.06;14.28;16.67;11.06;12.24;12.24;5.61;13.89;106.01;-5.21;100.8;15;0;15;115.8
21;AeroSATC;Faculdade SATC;SC;12.78;4.95;13.94;20.78;13.06;13.5;10.15;6.44;6.44;102.05;0;102.05;15;-2;13;115.05
12;Triângulo Aéreo Aerodesign;Universidade Federal do Triângulo Mineiro;MG;9.22;7.97;13.32;13.71;13.56;11.9;13.48;6.38;9.02;98.57;-1.48;97.09;15;0;15;112.09
22;NISUS Aerodesign;UFSC;SC;7.52;6.05;16.32;8.96;15.33;11.21;10.87;7.29;12.78;96.32;0;96.32;15;0;15;111.32
7;ZEUS;Universidade Estadual do Maranhão;MA;10.62;5.52;9.21;17.28;15.66;13.09;9.68;5.76;9.2;96.03;0;96.03;15;0;15;111.03
10;PegAzuls Aerodesign;Universidade Federal Rural do Semi-Árido;RN;9.03;6.89;14.24;17.1;6.38;10.92;13.76;7.82;9.35;95.5;-0.16;95.34;15;0;15;110.34
14;KUKULCÁN AERODESIGN;ESIME TICOMÁN - IPN;-;13.16;5.53;18.53;11.48;15.9;13.39;15.76;8.63;6.99;109.36;0;109.36;0;0;0;109.36
34;Skywards UFVoa;UFV;MG;10.9;5.08;15.92;14.6;16.74;11.62;14.61;7.55;6.49;103.5;-10;93.5;15;0;15;108.5
57;AeroVale;Universidade Federal dos Vales do Jequitinhonha e Mucuri;MG;9.97;5.61;10.4;12.12;12.52;12.03;12.15;7.13;10.83;92.76;0;92.76;15;0;15;107.76
39;Abutres Aerodesign;UTFPR;PR;6.66;4.5;17.11;11.55;8.75;12.24;10.77;5.9;11.31;88.78;0;88.78;15;0;15;103.78
40;Aerojampa;Universidade Federal da Paraíba;PB;7.35;6;11.15;16.96;8.77;11.75;7.11;4.9;13.93;87.93;0;87.93;15;0;15;102.93
25;Iúna AeroDesign;Fundação Hermínio Ometto;SP;6.72;6.31;8.73;8.53;7.26;12.18;14.77;6.51;15.23;86.24;0;86.24;15;0;15;101.24
58;IFly Sul;IFSul Campus Passo Fundo;RS;4.99;5.7;14.57;12.81;7.17;11.52;8.58;4.77;13.31;83.42;0;83.42;15;0;15;98.42
