numero;equipe;escola;uf;dip;dip_plantas;aerodinamica;desempenho;estabilidade;cargas;estruturas;estruturas_plantas;pel;subtotal_rela;penalidades;total_rela;apresentacao;penalidades_apresentacao;total_apresentacao;total_geral
2;EESC-USP Alpha;Escola de Engenharia de São Carlos - Universidade de São Paulo (EESC - USP;SP;16.52;7.64;23.57;22.6;21.91;19.19;17.36;8.74;22.86;160.4;-0.07;160.33;36.3;0;36.3;196.63
3;Uai. sô! Fly!!!;Universidade Federal de Minas Gerais (UFMG;MG;15.78;8.95;23.21;22.78;21.31;20.72;16.14;8.09;17.49;154.48;-0.19;154.29;36.63;0;36.63;190.91
1;Keep Flying;Escola Politécnica da Universidade de São Paulo (POLI - USP;SP;15.43;8.36;24.12;22.61;21.83;16.18;16.69;8.56;19.58;153.36;-0.41;152.95;37.62;0;37.62;190.57
4;UIRÁ Aerodesign;Universidade Federal de Itajubá - Campus Itajubá (UNIFEI - Itajubá;MG;16.76;8.76;17.96;22.89;23.71;20.12;15.17;8.64;17.51;151.53;-0.13;151.4;37.4;0;37.4;188.81
5;Tucano;Universidade Federal de Uberlândia (UFU;MG;16.91;8.18;21.75;22.57;22.62;19.22;15.62;8.92;15.12;150.9;0;150.9;36.23;0;36.23;187.13
6;Harpia Aerodesign;Universidade Federal do ABC (UFABC;SP;16.97;8.61;22.55;20.42;21.19;18.22;15.8;8.23;18.13;150.12;0;150.12;37.84;0;37.84;187.97
19;F-Carranca;Universidade Federal do Vale do São Francisco (UNIVASF;BA;17.46;7.76;22.57;21.51;21.85;13.43;14.08;7.66;18.26;144.57;0;144.57;37.12;0;37.12;181.7
7;Urubus AeroDesign;Universidade Estadual de Campinas (UNICAMP;SP;14.71;5.47;21.61;20.15;21.56;13.19;14.77;8.39;17.73;137.58;-0.66;136.92;36.27;0;36.27;173.19
9;Axé Fly;Universidade Federal da Bahia (UFBA;BA;12.9;8.67;19.49;18.98;19.28;17.09;14.47;7.87;16.94;135.7;0;135.7;37.39;0;37.39;173.08
14;Albatroz Aerodesign;Universidade do Estado de Santa Catarina (UDESC;SC;17.06;9.42;17.05;20.1;20.07;13.92;12.08;6.53;20.15;136.38;0;136.38;31.76;0;31.76;168.14
15;Trem Ki Voa Aerodesign;Universidade Federal de São João del-Rei - Campus Santo Antônio (UFSJ - Santo Antônio;MG;16.86;6.95;17.64;19.04;20.41;12.14;14.09;7.2;18.1;132.44;0;132.44;31.29;0;31.29;163.73
