numero;equipe;escola;uf;dip;dip_plantas;aerodinamica;desempenho;estabilidade;cargas;estruturas;estruturas_plantas;pel;embarcados;subtotal_rela;penalidades;total_rela;apresentacao;penalidades_apresentacao;total_apresentacao;total_rela_apresentacao;video_voo;penalidade_video;total_video;total;posicao
9;AXÉ FLY;Universidade Federal da Bahia (UFBA);BA;15.9;8.89;20.79;20.42;22.23;21.65;15.59;8.11;18.89;0;152.47;-0.02;152.44;38.44;0;38.44;190.88;30;0;30;220.88;1
4;Uirá AeroDesign;Universidade Federal de Itajubá (UNIFEI - Itajubá);MG;16.05;8.56;19.15;21.87;22.25;18.52;12.94;8.47;16.72;0;144.54;-0.74;143.8;36.06;0;36.06;179.86;30;0;30;209.86;3
6;HARPIA AERODESIGN UFABC;Universidade Federal do ABC (UFABC);SP;15.42;9.28;20.9;19.01;21.8;16.69;15.17;7.88;18.34;0;144.49;0;144.49;36.42;0;36.42;180.91;30;0;30;210.91;2
7;F-CARRANCA;Universidade Federal do Vale do São Francisco (UNIVASF);BA;16.12;8.82;20.92;19.31;19.19;18.72;16.21;8.06;16.57;0;143.92;-0.91;143;34.99;0;34.99;177.99;30;0;30;207.99;5
2;UAI. SÔ! FLY!!! AERODESIGN;Universidade Federal de Minas Gerais (UFMG);MG;14.19;8.38;21.76;20.07;19.74;17.14;15.12;9.3;17.62;0;143.31;-0.91;142.4;37.18;0;37.18;179.58;30;0;30;209.58;4
3;KEEP FLYING;Escola Politécnica da Universidade de São Paulo (POLI - USP);SP;16.38;9.15;23.72;18.32;19.82;14.22;12.52;9.28;18.45;0;141.86;-2.07;139.79;36.28;0;36.28;176.07;30;0;30;206.07;6
1;EESC-USP ALPHA;Escola de Engenharia de São Carlos (EESC - USP);SP;15.99;7.47;23.03;18.77;20;13.22;14.45;8.26;18.55;0;139.74;-0.16;139.58;31.75;-4;27.75;167.33;30;-30;0;167.33;15
8;URUBUS AERODESIGN;Universidade Estadual de Campinas (UNICAMP);SP;13.34;9.17;18.2;19.19;21.76;16.55;13.32;8.47;17.78;0;137.78;-1.01;136.78;35.53;0;35.53;172.31;30;0;30;202.31;7
5;TUCANO;Universidade Federal de Uberlândia (UFU);MG;15.45;9.2;22.51;18.51;24.07;10.75;12.08;7.96;13.63;0;134.17;0;134.17;36.06;0;36.06;170.23;30;0;30;200.23;8
14;FALCONS AERODESIGN;Centro Universitário FACENS(FACENS);SP;16.68;8.16;16.94;19.85;22.1;11.76;13.81;7.32;12.16;0;128.78;-1.68;127.1;34.78;0;34.78;161.88;30;0;30;191.88;9
10;ALBATROZ AERODESIGN;Universidade do Estado de Santa Catarina (UDESC);SC;13.46;7.54;18.93;18.07;17.28;17.15;12.81;6.78;15.47;0;127.49;0;127.49;31.81;0;31.81;159.3;30;0;30;189.3;10
12;AEROFEG;Faculdade de Engenharia de Guaratinguetá (FEG - UNESP);SP;14.98;9.47;18.82;17.36;15.55;13.44;10.01;7.51;17.15;0;124.28;-0.66;123.62;36.18;-2;34.18;157.8;30;0;30;187.8;11
16;AERODESIGN UTFPR CURITIBA;Universidade Tecnológica Federal do Paraná (UTFPR - Curitiba);PR;14.77;8.47;15.63;17.33;13.82;13.55;9.77;8.29;17.29;0;118.92;-0.41;118.51;28.37;0;28.37;146.88;0;0;0;146.88;21
18;Kukulcán AeroDesign;Escuela Superior de Ingeniería Mecánica y Eléctrica Unidad Ticomán (ESIME Tic - IPN);Mexico;12.4;7;16.82;16.93;17.44;10.78;11;7.36;17.88;0;117.61;-3;114.61;31.28;0;31.28;145.89;30;0;30;175.89;12
25;CEFAST AERODESIGN;Centro Federal de Educação Tecnológica de Minas Gerais (CEFET/MG - BH);MG;10.45;3.66;16.66;15.79;18.36;15.09;12.24;4.02;18.05;0;114.33;-5;109.33;30.18;0;30.18;139.51;30;-3.5;26.5;166.01;16
15;Delta do Piauí Aerodesign;Universidade Federal do Piauí (UFPI);PI;10.43;7.51;18.61;16.43;18.12;11.33;9.71;7.54;12.4;0;112.09;-0.46;111.62;28.27;0;28.27;139.89;0;0;0;139.89;23
26;NISUS AERODESIGN;Universidade Federal de Santa Catarina (UFSC - Joinville);SC;13.71;8.57;19.86;13.8;16.47;10.26;8.7;7.43;13.2;0;112.01;0;112.01;33.29;0;33.29;145.3;30;-30;0;145.3;22
17;BLACKBIRD AERODESIGN;Universidade Federal Fluminense - Campus Niterói (UFF - Niterói);RJ;12.87;8.71;15.39;16.08;10.41;11.02;12.22;8.09;16.49;0;111.29;0;111.29;28.99;0;28.99;140.28;30;0;30;170.28;14
13;FEI REGULAR;Centro Universitário da FEI (FEI);SP;14.5;9.22;16.02;14.28;11.75;13.93;12.47;7.69;9.9;0;109.78;-0.01;109.77;30.76;0;30.76;140.53;30;0;30;170.53;13
20;DRAGÃO BRANCO AERODESIGN;Universidade Federal de São Carlos (UFSCar);SP;9.13;8.65;16;14.04;11.65;12.4;10.51;7.53;15.06;0;104.98;-5.41;99.57;30.11;0;30.11;129.68;0;0;0;129.68;29
27;SKYWARDS UFVOA;Universidade Federal de Viçosa (UFV - Viçosa);MG;11.07;6.67;16.32;11.81;15.44;10.64;11.52;7.37;11.72;0;102.56;-5.07;97.49;32.82;0;32.82;130.31;0;0;0;130.31;27
30;Taperá;Instituto Federal de Educação. Ciência e Tecnologia de São Paulo (IFSP - Salto);SP;12.92;8.61;14.01;15.98;11.62;11.06;7.95;8;12.17;0;102.33;0;102.33;29.5;0;29.5;131.83;30;0;0     30.0;161.83;17
22;Burning Goose;Universidade Federal do Paraná (UFPR);PR;10.15;5.3;18.46;14.08;11.39;14.55;8.9;5.31;12.41;0;100.54;-1.15;99.4;30.64;0;30.64;130.04;0;0;0;130.04;28
33;TRIÂNGULO AÉREO AERODESIGN;Universidade Federal do Triângulo Mineiro (UFTM);MG;10.5;7.2;13.99;15.9;11.14;8.6;11.37;7.37;11.68;0;97.75;-6.51;91.24;27.95;0;27.95;119.19;30;0;30;149.19;20
